Row No.,Passenger Class,Name,Sex,Age,No of Sibilings or Spouses on Board,No of Partners or Childern on Board,Ticket Number,Passenger Fare,Cabin,Port of Embarkation,Life Boat,Survived
506,Second,"Milling, Mr. Jacob Christian",Male,48,0,0,234360,13,?,Southampton,?,No
507,Second,"Mitchell, Mr. Henry Michael",Male,70,0,0,C.A. 24580,10.5,?,Southampton,?,No
508,Second,"Montvila, Rev. Juozas",Male,27,0,0,211536,13,?,Southampton,?,No
509,Second,"Moraweck, Dr. Ernest",Male,54,0,0,29011,14,?,Southampton,?,No
510,Second,"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",Male,39,0,0,250655,26,?,Southampton,?,No
511,Second,"Mudd, Mr. Thomas Charles",Male,16,0,0,S.O./P.P. 3,10.5,?,Southampton,?,No
512,Second,"Myles, Mr. Thomas Francis",Male,62,0,0,240276,9.6875,?,Queenstown,?,No
513,Second,"Nasser, Mr. Nicholas",Male,32.5,1,0,237736,30.0708,?,Cherbourg,?,No
514,Second,"Nasser, Mrs. Nicholas (Adele Achem)",Female,14,1,0,237736,30.0708,?,Cherbourg,?,Yes
515,Second,"Navratil, Master. Edmond Roger",Male,2,1,1,230080,26,F2,Southampton,D,Yes
516,Second,"Navratil, Master. Michel M",Male,3,1,1,230080,26,F2,Southampton,D,Yes
517,Second,"Navratil, Mr. Michel (""Louis M Hoffman"")",Male,36.5,0,2,230080,26,F2,Southampton,?,No
518,Second,"Nesson, Mr. Israel",Male,26,0,0,244368,13,F2,Southampton,?,No
519,Second,"Nicholls, Mr. Joseph Charles",Male,19,1,1,C.A. 33112,36.75,?,Southampton,?,No
520,Second,"Norman, Mr. Robert Douglas",Male,28,0,0,218629,13.5,?,Southampton,?,No
521,Second,"Nourney, Mr. Alfred (""Baron von Drachstedt"")",Male,20,0,0,SC/PARIS 2166,13.8625,D38,Cherbourg,7,Yes
522,Second,"Nye, Mrs. (Elizabeth Ramell)",Female,29,0,0,C.A. 29395,10.5,F33,Southampton,11,Yes
523,Second,"Otter, Mr. Richard",Male,39,0,0,28213,13,?,Southampton,?,No
524,Second,"Oxenham, Mr. Percy Thomas",Male,22,0,0,W./C. 14260,10.5,?,Southampton,13,Yes
525,Second,"Padro y Manent, Mr. Julian",Male,?,0,0,SC/PARIS 2146,13.8625,?,Cherbourg,9,Yes
526,Second,"Pain, Dr. Alfred",Male,23,0,0,244278,10.5,?,Southampton,?,No
527,Second,"Pallas y Castello, Mr. Emilio",Male,29,0,0,SC/PARIS 2147,13.8583,?,Cherbourg,9,Yes
528,Second,"Parker, Mr. Clifford Richard",Male,28,0,0,SC 14888,10.5,?,Southampton,?,No
529,Second,"Parkes, Mr. Francis ""Frank""",Male,?,0,0,239853,0,?,Southampton,?,No
530,Second,"Parrish, Mrs. (Lutie Davis)",Female,50,0,1,230433,26,?,Southampton,12,Yes
531,Second,"Pengelly, Mr. Frederick William",Male,19,0,0,28665,10.5,?,Southampton,?,No
532,Second,"Pernot, Mr. Rene",Male,?,0,0,SC/PARIS 2131,15.05,?,Cherbourg,?,No
533,Second,"Peruschitz, Rev. Joseph Maria",Male,41,0,0,237393,13,?,Southampton,?,No
534,Second,"Phillips, Miss. Alice Frances Louisa",Female,21,0,1,S.O./P.P. 2,21,?,Southampton,12,Yes
535,Second,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",Female,19,0,0,250655,26,?,Southampton,11,Yes
536,Second,"Phillips, Mr. Escott Robert",Male,43,0,1,S.O./P.P. 2,21,?,Southampton,?,No
537,Second,"Pinsky, Mrs. (Rosa)",Female,32,0,0,234604,13,?,Southampton,9,Yes
538,Second,"Ponesell, Mr. Martin",Male,34,0,0,250647,13,?,Southampton,?,No
539,Second,"Portaluppi, Mr. Emilio Ilario Giuseppe",Male,30,0,0,C.A. 34644,12.7375,?,Cherbourg,14,Yes
540,Second,"Pulbaum, Mr. Franz",Male,27,0,0,SC/PARIS 2168,15.0333,?,Cherbourg,?,No
541,Second,"Quick, Miss. Phyllis May",Female,2,1,1,26360,26,?,Southampton,11,Yes
542,Second,"Quick, Miss. Winifred Vera",Female,8,1,1,26360,26,?,Southampton,11,Yes
543,Second,"Quick, Mrs. Frederick Charles (Jane Richards)",Female,33,0,2,26360,26,?,Southampton,11,Yes
544,Second,"Reeves, Mr. David",Male,36,0,0,C.A. 17248,10.5,?,Southampton,?,No
545,Second,"Renouf, Mr. Peter Henry",Male,34,1,0,31027,21,?,Southampton,12,No
546,Second,"Renouf, Mrs. Peter Henry (Lillian Jefferys)",Female,30,3,0,31027,21,?,Southampton,?,Yes
547,Second,"Reynaldo, Ms. Encarnacion",Female,28,0,0,230434,13,?,Southampton,9,Yes
548,Second,"Richard, Mr. Emile",Male,23,0,0,SC/PARIS 2133,15.0458,?,Cherbourg,?,No
549,Second,"Richards, Master. George Sibley",Male,0.8333,1,1,29106,18.75,?,Southampton,4,Yes
550,Second,"Richards, Master. William Rowe",Male,3,1,1,29106,18.75,?,Southampton,4,Yes
551,Second,"Richards, Mrs. Sidney (Emily Hocking)",Female,24,2,3,29106,18.75,?,Southampton,4,Yes
552,Second,"Ridsdale, Miss. Lucy",Female,50,0,0,W./C. 14258,10.5,?,Southampton,13,Yes
553,Second,"Rogers, Mr. Reginald Harry",Male,19,0,0,28004,10.5,?,Southampton,?,No
554,Second,"Rugg, Miss. Emily",Female,21,0,0,C.A. 31026,10.5,?,Southampton,12,Yes
555,Second,"Schmidt, Mr. August",Male,26,0,0,248659,13,?,Southampton,?,No
556,Second,"Sedgwick, Mr. Charles Frederick Waddington",Male,25,0,0,244361,13,?,Southampton,?,No
557,Second,"Sharp, Mr. Percival James R",Male,27,0,0,244358,26,?,Southampton,?,No
558,Second,"Shelley, Mrs. William (Imanita Parrish Hall)",Female,25,0,1,230433,26,?,Southampton,12,Yes
559,Second,"Silven, Miss. Lyyli Karoliina",Female,18,0,2,250652,13,?,Southampton,16,Yes
560,Second,"Sincock, Miss. Maude",Female,20,0,0,C.A. 33112,36.75,?,Southampton,11,Yes
561,Second,"Sinkkonen, Miss. Anna",Female,30,0,0,250648,13,?,Southampton,10,Yes
562,Second,"Sjostedt, Mr. Ernst Adolf",Male,59,0,0,237442,13.5,?,Southampton,?,No
563,Second,"Slayter, Miss. Hilda Mary",Female,30,0,0,234818,12.35,?,Queenstown,13,Yes
564,Second,"Slemen, Mr. Richard James",Male,35,0,0,28206,10.5,?,Southampton,?,No
565,Second,"Smith, Miss. Marion Elsie",Female,40,0,0,31418,13,?,Southampton,9,Yes
566,Second,"Sobey, Mr. Samuel James Hayden",Male,25,0,0,C.A. 29178,13,?,Southampton,?,No
567,Second,"Stanton, Mr. Samuel Ward",Male,41,0,0,237734,15.0458,?,Cherbourg,?,No
568,Second,"Stokes, Mr. Philip Joseph",Male,25,0,0,F.C.C. 13540,10.5,?,Southampton,?,No
569,Second,"Swane, Mr. George",Male,18.5,0,0,248734,13,F,Southampton,?,No
570,Second,"Sweet, Mr. George Frederick",Male,14,0,0,220845,65,?,Southampton,?,No
571,Second,"Toomey, Miss. Ellen",Female,50,0,0,F.C.C. 13531,10.5,?,Southampton,9,Yes
572,Second,"Troupiansky, Mr. Moses Aaron",Male,23,0,0,233639,13,?,Southampton,?,No
573,Second,"Trout, Mrs. William H (Jessie L)",Female,28,0,0,240929,12.65,?,Southampton,?,Yes
574,Second,"Troutt, Miss. Edwina Celia ""Winnie""",Female,27,0,0,34218,10.5,E101,Southampton,16,Yes
575,Second,"Turpin, Mr. William John Robert",Male,29,1,0,11668,21,?,Southampton,?,No
576,Second,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",Female,27,1,0,11668,21,?,Southampton,?,No
577,Second,"Veal, Mr. James",Male,40,0,0,28221,13,?,Southampton,?,No
578,Second,"Walcroft, Miss. Nellie",Female,31,0,0,F.C.C. 13528,21,?,Southampton,14,Yes
579,Second,"Ware, Mr. John James",Male,30,1,0,CA 31352,21,?,Southampton,?,No
580,Second,"Ware, Mr. William Jeffery",Male,23,1,0,28666,10.5,?,Southampton,?,No
581,Second,"Ware, Mrs. John James (Florence Louise Long)",Female,31,0,0,CA 31352,21,?,Southampton,10,Yes
582,Second,"Watson, Mr. Ennis Hastings",Male,?,0,0,239856,0,?,Southampton,?,No
583,Second,"Watt, Miss. Bertha J",Female,12,0,0,C.A. 33595,15.75,?,Southampton,9,Yes
584,Second,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",Female,40,0,0,C.A. 33595,15.75,?,Southampton,9,Yes
585,Second,"Webber, Miss. Susan",Female,32.5,0,0,27267,13,E101,Southampton,12,Yes
586,Second,"Weisz, Mr. Leopold",Male,27,1,0,228414,26,?,Southampton,?,No
587,Second,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",Female,29,1,0,228414,26,?,Southampton,10,Yes
588,Second,"Wells, Master. Ralph Lester",Male,2,1,1,29103,23,?,Southampton,14,Yes
589,Second,"Wells, Miss. Joan",Female,4,1,1,29103,23,?,Southampton,14,Yes
590,Second,"Wells, Mrs. Arthur Henry (""Addie"" Dart Trevaskis)",Female,29,0,2,29103,23,?,Southampton,14,Yes
591,Second,"West, Miss. Barbara J",Female,0.9167,1,2,C.A. 34651,27.75,?,Southampton,10,Yes
592,Second,"West, Miss. Constance Mirium",Female,5,1,2,C.A. 34651,27.75,?,Southampton,10,Yes
593,Second,"West, Mr. Edwy Arthur",Male,36,1,2,C.A. 34651,27.75,?,Southampton,?,No
594,Second,"West, Mrs. Edwy Arthur (Ada Mary Worth)",Female,33,1,2,C.A. 34651,27.75,?,Southampton,10,Yes
595,Second,"Wheadon, Mr. Edward H",Male,66,0,0,C.A. 24579,10.5,?,Southampton,?,No
596,Second,"Wheeler, Mr. Edwin ""Frederick""",Male,?,0,0,SC/PARIS 2159,12.875,?,Southampton,?,No
597,Second,"Wilhelms, Mr. Charles",Male,31,0,0,244270,13,?,Southampton,9,Yes
598,Second,"Williams, Mr. Charles Eugene",Male,?,0,0,244373,13,?,Southampton,14,Yes
599,Second,"Wright, Miss. Marion",Female,26,0,0,220844,13.5,?,Southampton,9,Yes
600,Second,"Yrois, Miss. Henriette (""Mrs Harbeck"")",Female,24,0,0,248747,13,?,Southampton,?,No
601,Third,"Abbing, Mr. Anthony",Male,42,0,0,C.A. 5547,7.55,?,Southampton,?,No
602,Third,"Abbott, Master. Eugene Joseph",Male,13,0,2,C.A. 2673,20.25,?,Southampton,?,No
603,Third,"Abbott, Mr. Rossmore Edward",Male,16,1,1,C.A. 2673,20.25,?,Southampton,?,No
604,Third,"Abbott, Mrs. Stanton (Rosa Hunt)",Female,35,1,1,C.A. 2673,20.25,?,Southampton,A,Yes
605,Third,"Abelseth, Miss. Karen Marie",Female,16,0,0,348125,7.65,?,Southampton,16,Yes
606,Third,"Abelseth, Mr. Olaus Jorgensen",Male,25,0,0,348122,7.65,F G63,Southampton,A,Yes
607,Third,"Abrahamsson, Mr. Abraham August Johannes",Male,20,0,0,SOTON/O2 3101284,7.925,?,Southampton,15,Yes
608,Third,"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",Female,18,0,0,2657,7.2292,?,Cherbourg,C,Yes
609,Third,"Adahl, Mr. Mauritz Nils Martin",Male,30,0,0,C 7076,7.25,?,Southampton,?,No
610,Third,"Adams, Mr. John",Male,26,0,0,341826,8.05,?,Southampton,?,No
611,Third,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",Female,40,1,0,7546,9.475,?,Southampton,?,No
612,Third,"Aks, Master. Philip Frank",Male,0.8333,0,1,392091,9.35,?,Southampton,11,Yes
613,Third,"Aks, Mrs. Sam (Leah Rosen)",Female,18,0,1,392091,9.35,?,Southampton,13,Yes
614,Third,"Albimona, Mr. Nassef Cassem",Male,26,0,0,2699,18.7875,?,Cherbourg,15,Yes
615,Third,"Alexander, Mr. William",Male,26,0,0,3474,7.8875,?,Southampton,?,No
616,Third,"Alhomaki, Mr. Ilmari Rudolf",Male,20,0,0,SOTON/O2 3101287,7.925,?,Southampton,?,No
617,Third,"Ali, Mr. Ahmed",Male,24,0,0,SOTON/O.Q. 3101311,7.05,?,Southampton,?,No
618,Third,"Ali, Mr. William",Male,25,0,0,SOTON/O.Q. 3101312,7.05,?,Southampton,?,No
619,Third,"Allen, Mr. William Henry",Male,35,0,0,373450,8.05,?,Southampton,?,No
620,Third,"Allum, Mr. Owen George",Male,18,0,0,2223,8.3,?,Southampton,?,No
621,Third,"Andersen, Mr. Albert Karvin",Male,32,0,0,C 4001,22.525,?,Southampton,?,No
622,Third,"Andersen-Jensen, Miss. Carla Christine Nielsine",Female,19,1,0,350046,7.8542,?,Southampton,16,Yes
623,Third,"Andersson, Master. Sigvard Harald Elias",Male,4,4,2,347082,31.275,?,Southampton,?,No
624,Third,"Andersson, Miss. Ebba Iris Alfrida",Female,6,4,2,347082,31.275,?,Southampton,?,No
625,Third,"Andersson, Miss. Ellis Anna Maria",Female,2,4,2,347082,31.275,?,Southampton,?,No
626,Third,"Andersson, Miss. Erna Alexandra",Female,17,4,2,3101281,7.925,?,Southampton,D,Yes
627,Third,"Andersson, Miss. Ida Augusta Margareta",Female,38,4,2,347091,7.775,?,Southampton,?,No
628,Third,"Andersson, Miss. Ingeborg Constanzia",Female,9,4,2,347082,31.275,?,Southampton,?,No
629,Third,"Andersson, Miss. Sigrid Elisabeth",Female,11,4,2,347082,31.275,?,Southampton,?,No
630,Third,"Andersson, Mr. Anders Johan",Male,39,1,5,347082,31.275,?,Southampton,?,No
631,Third,"Andersson, Mr. August Edvard (""Wennerstrom"")",Male,27,0,0,350043,7.7958,?,Southampton,A,Yes
632,Third,"Andersson, Mr. Johan Samuel",Male,26,0,0,347075,7.775,?,Southampton,?,No
633,Third,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",Female,39,1,5,347082,31.275,?,Southampton,?,No
634,Third,"Andreasson, Mr. Paul Edvin",Male,20,0,0,347466,7.8542,?,Southampton,?,No
635,Third,"Angheloff, Mr. Minko",Male,26,0,0,349202,7.8958,?,Southampton,?,No
636,Third,"Arnold-Franchi, Mr. Josef",Male,25,1,0,349237,17.8,?,Southampton,?,No
637,Third,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",Female,18,1,0,349237,17.8,?,Southampton,?,No
638,Third,"Aronsson, Mr. Ernst Axel Algot",Male,24,0,0,349911,7.775,?,Southampton,?,No
639,Third,"Asim, Mr. Adola",Male,35,0,0,SOTON/O.Q. 3101310,7.05,?,Southampton,?,No
640,Third,"Asplund, Master. Carl Edgar",Male,5,4,2,347077,31.3875,?,Southampton,?,No
641,Third,"Asplund, Master. Clarence Gustaf Hugo",Male,9,4,2,347077,31.3875,?,Southampton,?,No
642,Third,"Asplund, Master. Edvin Rojj Felix",Male,3,4,2,347077,31.3875,?,Southampton,15,Yes
643,Third,"Asplund, Master. Filip Oscar",Male,13,4,2,347077,31.3875,?,Southampton,?,No
644,Third,"Asplund, Miss. Lillian Gertrud",Female,5,4,2,347077,31.3875,?,Southampton,15,Yes
645,Third,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",Male,40,1,5,347077,31.3875,?,Southampton,?,No
646,Third,"Asplund, Mr. Johan Charles",Male,23,0,0,350054,7.7958,?,Southampton,13,Yes
647,Third,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",Female,38,1,5,347077,31.3875,?,Southampton,15,Yes
648,Third,"Assaf Khalil, Mrs. Mariana (""Miriam"")",Female,45,0,0,2696,7.225,?,Cherbourg,C,Yes
649,Third,"Assaf, Mr. Gerios",Male,21,0,0,2692,7.225,?,Cherbourg,?,No
650,Third,"Assam, Mr. Ali",Male,23,0,0,SOTON/O.Q. 3101309,7.05,?,Southampton,?,No
651,Third,"Attalah, Miss. Malake",Female,17,0,0,2627,14.4583,?,Cherbourg,?,No
652,Third,"Attalah, Mr. Sleiman",Male,30,0,0,2694,7.225,?,Cherbourg,?,No
653,Third,"Augustsson, Mr. Albert",Male,23,0,0,347468,7.8542,?,Southampton,?,No
654,Third,"Ayoub, Miss. Banoura",Female,13,0,0,2687,7.2292,?,Cherbourg,C,Yes
655,Third,"Baccos, Mr. Raffull",Male,20,0,0,2679,7.225,?,Cherbourg,?,No
656,Third,"Backstrom, Mr. Karl Alfred",Male,32,1,0,3101278,15.85,?,Southampton,D,No
657,Third,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",Female,33,3,0,3101278,15.85,?,Southampton,?,Yes
658,Third,"Baclini, Miss. Eugenie",Female,0.75,2,1,2666,19.2583,?,Cherbourg,C,Yes
659,Third,"Baclini, Miss. Helene Barbara",Female,0.75,2,1,2666,19.2583,?,Cherbourg,C,Yes
660,Third,"Baclini, Miss. Marie Catherine",Female,5,2,1,2666,19.2583,?,Cherbourg,C,Yes
661,Third,"Baclini, Mrs. Solomon (Latifa Qurban)",Female,24,0,3,2666,19.2583,?,Cherbourg,C,Yes
662,Third,"Badman, Miss. Emily Louisa",Female,18,0,0,A/4 31416,8.05,?,Southampton,C,Yes
663,Third,"Badt, Mr. Mohamed",Male,40,0,0,2623,7.225,?,Cherbourg,?,No
664,Third,"Balkic, Mr. Cerin",Male,26,0,0,349248,7.8958,?,Southampton,?,No
665,Third,"Barah, Mr. Hanna Assi",Male,20,0,0,2663,7.2292,?,Cherbourg,15,Yes
666,Third,"Barbara, Miss. Saiide",Female,18,0,1,2691,14.4542,?,Cherbourg,?,No
667,Third,"Barbara, Mrs. (Catherine David)",Female,45,0,1,2691,14.4542,?,Cherbourg,?,No
668,Third,"Barry, Miss. Julia",Female,27,0,0,330844,7.8792,?,Queenstown,?,No
669,Third,"Barton, Mr. David John",Male,22,0,0,324669,8.05,?,Southampton,?,No
670,Third,"Beavan, Mr. William Thomas",Male,19,0,0,323951,8.05,?,Southampton,?,No
671,Third,"Bengtsson, Mr. John Viktor",Male,26,0,0,347068,7.775,?,Southampton,?,No
672,Third,"Berglund, Mr. Karl Ivar Sven",Male,22,0,0,PP 4348,9.35,?,Southampton,?,No
673,Third,"Betros, Master. Seman",Male,?,0,0,2622,7.2292,?,Cherbourg,?,No
674,Third,"Betros, Mr. Tannous",Male,20,0,0,2648,4.0125,?,Cherbourg,?,No
675,Third,"Bing, Mr. Lee",Male,32,0,0,1601,56.4958,?,Southampton,C,Yes
676,Third,"Birkeland, Mr. Hans Martin Monsen",Male,21,0,0,312992,7.775,?,Southampton,?,No
677,Third,"Bjorklund, Mr. Ernst Herbert",Male,18,0,0,347090,7.75,?,Southampton,?,No
678,Third,"Bostandyeff, Mr. Guentcho",Male,26,0,0,349224,7.8958,?,Southampton,?,No
679,Third,"Boulos, Master. Akar",Male,6,1,1,2678,15.2458,?,Cherbourg,?,No
680,Third,"Boulos, Miss. Nourelain",Female,9,1,1,2678,15.2458,?,Cherbourg,?,No
681,Third,"Boulos, Mr. Hanna",Male,?,0,0,2664,7.225,?,Cherbourg,?,No
682,Third,"Boulos, Mrs. Joseph (Sultana)",Female,?,0,2,2678,15.2458,?,Cherbourg,?,No
683,Third,"Bourke, Miss. Mary",Female,?,0,2,364848,7.75,?,Queenstown,?,No
684,Third,"Bourke, Mr. John",Male,40,1,1,364849,15.5,?,Queenstown,?,No
685,Third,"Bourke, Mrs. John (Catherine)",Female,32,1,1,364849,15.5,?,Queenstown,?,No
686,Third,"Bowen, Mr. David John ""Dai""",Male,21,0,0,54636,16.1,?,Southampton,?,No
687,Third,"Bradley, Miss. Bridget Delia",Female,22,0,0,334914,7.725,?,Queenstown,13,Yes
688,Third,"Braf, Miss. Elin Ester Maria",Female,20,0,0,347471,7.8542,?,Southampton,?,No
689,Third,"Braund, Mr. Lewis Richard",Male,29,1,0,3460,7.0458,?,Southampton,?,No
690,Third,"Braund, Mr. Owen Harris",Male,22,1,0,A/5 21171,7.25,?,Southampton,?,No
691,Third,"Brobeck, Mr. Karl Rudolf",Male,22,0,0,350045,7.7958,?,Southampton,?,No
692,Third,"Brocklebank, Mr. William Alfred",Male,35,0,0,364512,8.05,?,Southampton,?,No
693,Third,"Buckley, Miss. Katherine",Female,18.5,0,0,329944,7.2833,?,Queenstown,?,No
694,Third,"Buckley, Mr. Daniel",Male,21,0,0,330920,7.8208,?,Queenstown,13,Yes
695,Third,"Burke, Mr. Jeremiah",Male,19,0,0,365222,6.75,?,Queenstown,?,No
696,Third,"Burns, Miss. Mary Delia",Female,18,0,0,330963,7.8792,?,Queenstown,?,No
697,Third,"Cacic, Miss. Manda",Female,21,0,0,315087,8.6625,?,Southampton,?,No
698,Third,"Cacic, Miss. Marija",Female,30,0,0,315084,8.6625,?,Southampton,?,No
699,Third,"Cacic, Mr. Jego Grga",Male,18,0,0,315091,8.6625,?,Southampton,?,No
700,Third,"Cacic, Mr. Luka",Male,38,0,0,315089,8.6625,?,Southampton,?,No
701,Third,"Calic, Mr. Jovo",Male,17,0,0,315093,8.6625,?,Southampton,?,No
702,Third,"Calic, Mr. Petar",Male,17,0,0,315086,8.6625,?,Southampton,?,No
703,Third,"Canavan, Miss. Mary",Female,21,0,0,364846,7.75,?,Queenstown,?,No
704,Third,"Canavan, Mr. Patrick",Male,21,0,0,364858,7.75,?,Queenstown,?,No
705,Third,"Cann, Mr. Ernest Charles",Male,21,0,0,A./5. 2152,8.05,?,Southampton,?,No
706,Third,"Caram, Mr. Joseph",Male,?,1,0,2689,14.4583,?,Cherbourg,?,No
707,Third,"Caram, Mrs. Joseph (Maria Elias)",Female,?,1,0,2689,14.4583,?,Cherbourg,?,No
708,Third,"Carlsson, Mr. August Sigfrid",Male,28,0,0,350042,7.7958,?,Southampton,?,No
709,Third,"Carlsson, Mr. Carl Robert",Male,24,0,0,350409,7.8542,?,Southampton,?,No
710,Third,"Carr, Miss. Helen ""Ellen""",Female,16,0,0,367231,7.75,?,Queenstown,16,Yes
711,Third,"Carr, Miss. Jeannie",Female,37,0,0,368364,7.75,?,Queenstown,?,No
712,Third,"Carver, Mr. Alfred John",Male,28,0,0,392095,7.25,?,Southampton,?,No
713,Third,"Celotti, Mr. Francesco",Male,24,0,0,343275,8.05,?,Southampton,?,No
714,Third,"Charters, Mr. David",Male,21,0,0,A/5. 13032,7.7333,?,Queenstown,?,No
715,Third,"Chip, Mr. Chang",Male,32,0,0,1601,56.4958,?,Southampton,C,Yes
716,Third,"Christmann, Mr. Emil",Male,29,0,0,343276,8.05,?,Southampton,?,No
717,Third,"Chronopoulos, Mr. Apostolos",Male,26,1,0,2680,14.4542,?,Cherbourg,?,No
718,Third,"Chronopoulos, Mr. Demetrios",Male,18,1,0,2680,14.4542,?,Cherbourg,?,No
719,Third,"Coelho, Mr. Domingos Fernandeo",Male,20,0,0,SOTON/O.Q. 3101307,7.05,?,Southampton,?,No
720,Third,"Cohen, Mr. Gurshon ""Gus""",Male,18,0,0,A/5 3540,8.05,?,Southampton,12,Yes
721,Third,"Colbert, Mr. Patrick",Male,24,0,0,371109,7.25,?,Queenstown,?,No
722,Third,"Coleff, Mr. Peju",Male,36,0,0,349210,7.4958,?,Southampton,?,No
723,Third,"Coleff, Mr. Satio",Male,24,0,0,349209,7.4958,?,Southampton,?,No
724,Third,"Conlon, Mr. Thomas Henry",Male,31,0,0,21332,7.7333,?,Queenstown,?,No
725,Third,"Connaghton, Mr. Michael",Male,31,0,0,335097,7.75,?,Queenstown,?,No
726,Third,"Connolly, Miss. Kate",Female,22,0,0,370373,7.75,?,Queenstown,13,Yes
727,Third,"Connolly, Miss. Kate",Female,30,0,0,330972,7.6292,?,Queenstown,?,No
728,Third,"Connors, Mr. Patrick",Male,70.5,0,0,370369,7.75,?,Queenstown,?,No
729,Third,"Cook, Mr. Jacob",Male,43,0,0,A/5 3536,8.05,?,Southampton,?,No
730,Third,"Cor, Mr. Bartol",Male,35,0,0,349230,7.8958,?,Southampton,?,No
731,Third,"Cor, Mr. Ivan",Male,27,0,0,349229,7.8958,?,Southampton,?,No
732,Third,"Cor, Mr. Liudevit",Male,19,0,0,349231,7.8958,?,Southampton,?,No
733,Third,"Corn, Mr. Harry",Male,30,0,0,SOTON/OQ 392090,8.05,?,Southampton,?,No
734,Third,"Coutts, Master. Eden Leslie ""Neville""",Male,9,1,1,C.A. 37671,15.9,?,Southampton,2,Yes
735,Third,"Coutts, Master. William Loch ""William""",Male,3,1,1,C.A. 37671,15.9,?,Southampton,2,Yes
736,Third,"Coutts, Mrs. William (Winnie ""Minnie"" Treanor)",Female,36,0,2,C.A. 37671,15.9,?,Southampton,2,Yes
737,Third,"Coxon, Mr. Daniel",Male,59,0,0,364500,7.25,?,Southampton,?,No
738,Third,"Crease, Mr. Ernest James",Male,19,0,0,S.P. 3464,8.1583,?,Southampton,?,No
739,Third,"Cribb, Miss. Laura Alice",Female,17,0,1,371362,16.1,?,Southampton,12,Yes
740,Third,"Cribb, Mr. John Hatfield",Male,44,0,1,371362,16.1,?,Southampton,?,No
741,Third,"Culumovic, Mr. Jeso",Male,17,0,0,315090,8.6625,?,Southampton,?,No
742,Third,"Daher, Mr. Shedid",Male,22.5,0,0,2698,7.225,?,Cherbourg,?,No
743,Third,"Dahl, Mr. Karl Edwart",Male,45,0,0,7598,8.05,?,Southampton,15,Yes
744,Third,"Dahlberg, Miss. Gerda Ulrika",Female,22,0,0,7552,10.5167,?,Southampton,?,No
745,Third,"Dakic, Mr. Branko",Male,19,0,0,349228,10.1708,?,Southampton,?,No
746,Third,"Daly, Miss. Margaret Marcella ""Maggie""",Female,30,0,0,382650,6.95,?,Queenstown,15,Yes
747,Third,"Daly, Mr. Eugene Patrick",Male,29,0,0,382651,7.75,?,Queenstown,13 15 B,Yes
748,Third,"Danbom, Master. Gilbert Sigvard Emanuel",Male,0.3333,0,2,347080,14.4,?,Southampton,?,No
749,Third,"Danbom, Mr. Ernst Gilbert",Male,34,1,1,347080,14.4,?,Southampton,?,No
750,Third,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",Female,28,1,1,347080,14.4,?,Southampton,?,No
751,Third,"Danoff, Mr. Yoto",Male,27,0,0,349219,7.8958,?,Southampton,?,No
752,Third,"Dantcheff, Mr. Ristiu",Male,25,0,0,349203,7.8958,?,Southampton,?,No
753,Third,"Davies, Mr. Alfred J",Male,24,2,0,A/4 48871,24.15,?,Southampton,?,No
754,Third,"Davies, Mr. Evan",Male,22,0,0,SC/A4 23568,8.05,?,Southampton,?,No
755,Third,"Davies, Mr. John Samuel",Male,21,2,0,A/4 48871,24.15,?,Southampton,?,No
756,Third,"Davies, Mr. Joseph",Male,17,2,0,A/4 48873,8.05,?,Southampton,?,No
757,Third,"Davison, Mr. Thomas Henry",Male,?,1,0,386525,16.1,?,Southampton,?,No
758,Third,"Davison, Mrs. Thomas Henry (Mary E Finck)",Female,?,1,0,386525,16.1,?,Southampton,16,Yes
759,Third,"de Messemaeker, Mr. Guillaume Joseph",Male,36.5,1,0,345572,17.4,?,Southampton,15,Yes
760,Third,"de Messemaeker, Mrs. Guillaume Joseph (Emma)",Female,36,1,0,345572,17.4,?,Southampton,13,Yes
761,Third,"de Mulder, Mr. Theodore",Male,30,0,0,345774,9.5,?,Southampton,11,Yes
762,Third,"de Pelsmaeker, Mr. Alfons",Male,16,0,0,345778,9.5,?,Southampton,?,No
763,Third,"Dean, Master. Bertram Vere",Male,1,1,2,C.A. 2315,20.575,?,Southampton,10,Yes
764,Third,"Dean, Miss. Elizabeth Gladys ""Millvina""",Female,0.1667,1,2,C.A. 2315,20.575,?,Southampton,10,Yes
765,Third,"Dean, Mr. Bertram Frank",Male,26,1,2,C.A. 2315,20.575,?,Southampton,?,No
766,Third,"Dean, Mrs. Bertram (Eva Georgetta Light)",Female,33,1,2,C.A. 2315,20.575,?,Southampton,10,Yes
